Type,Start,End,Duration,Total Energy (kcal),Active Energy (kcal),Max Heart Rate (bpm),Avg Heart Rate (bpm),Distance (mi),Avg Speed(mi/hr)),Step Count (count),Step Cadence (spm),Swimming Stroke Count (count),Swim Stoke Cadence (spm),Flights Climbed (count),Elevation Ascended (ft),Elevation Descended (ft)
Traditional Strength Training,2022-07-26 14:25:00,2022-07-26 14:55,00:30:14,208.91,143.57,139,107.3,0.0,0.0,289,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-26 08:25:00,2022-07-26 09:14,00:49:37,286.34,193.39,149,97.79,2.29,3.28,4247,0,0.0,0.0,6.0,84.42,0
Cycling,2022-07-25 17:18:00,2022-07-25 17:59,00:40:56,509.09,426.69,158,142.09,0.0,0.0,130,0,0.0,0.0,0.0,0.0,0
Walking,2022-07-25 08:25:00,2022-07-25 08:51,00:25:46,137.92,79.26,135,102.48,0.794,2.82,1488,0,0.0,0.0,6.0,61.29,0
Walking,2022-07-24 11:01:00,2022-07-24 12:17,01:15:51,382.66,251.18,122,100.69,2.95,2.82,5647,0,0.0,0.0,3.0,93.31,0
Traditional Strength Training,2022-07-23 14:09:00,2022-07-23 15:05,00:56:13,481.25,376.47,162,118.57,0.0,0.0,848,0,0.0,0.0,0.0,0.0,0
Functional Strength Training,2022-07-23 13:58:00,2022-07-23 14:08,00:10:02,72.35,56.94,128,102.57,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0
Cycling,2022-07-22 16:20:00,2022-07-22 16:39,00:19:04,246.79,216.95,187,152.56,0.0,0.0,8,0,0.0,0.0,0.0,0.0,0
Yoga,2022-07-22 11:30:00,2022-07-22 12:02,00:32:01,240.49,170.27,129,96.05,0.0,0.0,16,0,0.0,0.0,0.0,0.0,0
Cycling,2022-07-21 20:10:00,2022-07-21 20:18,00:07:23,60.61,48.85,168,152.04,1.58,12.83,847,0,0.0,0.0,0.0,0.0,0
Cycling,2022-07-21 17:16:00,2022-07-21 17:28,00:12:16,59.19,40.93,183,145.99,1.59,7.79,185,0,0.0,0.0,0.0,0.0,0
